Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
09 Cataluña;África;2018;23.879
09 Cataluña;África;2017;14.842
09 Cataluña;África;2016;11.936
09 Cataluña;África;2015;10.084
09 Cataluña;África;2014;8.890
09 Cataluña;África;2013;9.661
09 Cataluña;África;2012;10.057
09 Cataluña;África;2011;12.797
09 Cataluña;África;2010;13.312
09 Cataluña;África;2009;17.198
09 Cataluña;África;2008;29.024
09 Cataluña;Argelia;2021;877
09 Cataluña;Argelia;2020;630
09 Cataluña;Argelia;2019;1.021
09 Cataluña;Argelia;2018;913
09 Cataluña;Argelia;2017;563
09 Cataluña;Argelia;2016;529
09 Cataluña;Argelia;2015;511
09 Cataluña;Argelia;2014;529
09 Cataluña;Argelia;2013;534
09 Cataluña;Argelia;2012;570
09 Cataluña;Argelia;2011;556
09 Cataluña;Argelia;2010;541
09 Cataluña;Argelia;2009;508
09 Cataluña;Argelia;2008;697
09 Cataluña;Gambia;2021;1.349
09 Cataluña;Gambia;2020;973
09 Cataluña;Gambia;2019;1.356
09 Cataluña;Gambia;2018;1.073
09 Cataluña;Gambia;2017;830
09 Cataluña;Gambia;2016;789
09 Cataluña;Gambia;2015;727
09 Cataluña;Gambia;2014;700
09 Cataluña;Gambia;2013;835
09 Cataluña;Gambia;2012;802
09 Cataluña;Gambia;2011;1.064
09 Cataluña;Gambia;2010;1.113
09 Cataluña;Gambia;2009;1.171
09 Cataluña;Gambia;2008;1.724
09 Cataluña;Ghana;2021;736
09 Cataluña;Ghana;2020;507
09 Cataluña;Ghana;2019;832
09 Cataluña;Ghana;2018;588
09 Cataluña;Ghana;2017;413
09 Cataluña;Ghana;2016;310
09 Cataluña;Ghana;2015;294
09 Cataluña;Ghana;2014;282
09 Cataluña;Ghana;2013;406
09 Cataluña;Ghana;2012;434
09 Cataluña;Ghana;2011;612
09 Cataluña;Ghana;2010;569
09 Cataluña;Ghana;2009;472
09 Cataluña;Ghana;2008;572
09 Cataluña;Guinea;2021;224
09 Cataluña;Guinea;2020;141
09 Cataluña;Guinea;2019;369
09 Cataluña;Guinea;2018;251
09 Cataluña;Guinea;2017;142
09 Cataluña;Guinea;2016;196
09 Cataluña;Guinea;2015;193
09 Cataluña;Guinea;2014;188
09 Cataluña;Guinea;2013;176
09 Cataluña;Guinea;2012;220
09 Cataluña;Guinea;2011;282
09 Cataluña;Guinea;2010;292
09 Cataluña;Guinea;2009;407
09 Cataluña;Guinea;2008;667
09 Cataluña;Guinea Ecuatorial;2021;86
09 Cataluña;Guinea Ecuatorial;2020;71
09 Cataluña;Guinea Ecuatorial;2019;132
09 Cataluña;Guinea Ecuatorial;2018;163
09 Cataluña;Guinea Ecuatorial;2017;200
09 Cataluña;Guinea Ecuatorial;2016;212
09 Cataluña;Guinea Ecuatorial;2015;187
09 Cataluña;Guinea Ecuatorial;2014;170
09 Cataluña;Guinea Ecuatorial;2013;158
09 Cataluña;Guinea Ecuatorial;2012;155
09 Cataluña;Guinea Ecuatorial;2011;138
09 Cataluña;Guinea Ecuatorial;2010;140
09 Cataluña;Guinea Ecuatorial;2009;212
09 Cataluña;Guinea Ecuatorial;2008;206
09 Cataluña;Mali;2021;450
09 Cataluña;Mali;2020;373
09 Cataluña;Mali;2019;501
09 Cataluña;Mali;2018;366
09 Cataluña;Mali;2017;263
09 Cataluña;Mali;2016;243
09 Cataluña;Mali;2015;265
09 Cataluña;Mali;2014;260
09 Cataluña;Mali;2013;241
09 Cataluña;Mali;2012;309
09 Cataluña;Mali;2011;347
09 Cataluña;Mali;2010;341
09 Cataluña;Mali;2009;524
09 Cataluña;Mali;2008;909
09 Cataluña;Marruecos;2021;11.745
09 Cataluña;Marruecos;2020;11.280
09 Cataluña;Marruecos;2019;19.981
09 Cataluña;Marruecos;2018;16.852
09 Cataluña;Marruecos;2017;9.781
09 Cataluña;Marruecos;2016;7.435
09 Cataluña;Marruecos;2015;5.788
09 Cataluña;Marruecos;2014;4.913
09 Cataluña;Marruecos;2013;5.338
09 Cataluña;Marruecos;2012;5.687
09 Cataluña;Marruecos;2011;7.500
09 Cataluña;Marruecos;2010;8.035
09 Cataluña;Marruecos;2009;10.551
09 Cataluña;Marruecos;2008;19.142
09 Cataluña;Mauritania;2021;191
09 Cataluña;Mauritania;2020;102
09 Cataluña;Mauritania;2019;154
09 Cataluña;Mauritania;2018;97
09 Cataluña;Mauritania;2017;80
09 Cataluña;Mauritania;2016;83
09 Cataluña;Mauritania;2015;129
09 Cataluña;Mauritania;2014;86
09 Cataluña;Mauritania;2013;72
09 Cataluña;Mauritania;2012;77
09 Cataluña;Mauritania;2011;82
09 Cataluña;Mauritania;2010;98
09 Cataluña;Mauritania;2009;132
09 Cataluña;Mauritania;2008;321
09 Cataluña;Nigeria;2021;347
09 Cataluña;Nigeria;2020;256
09 Cataluña;Nigeria;2019;322
09 Cataluña;Nigeria;2018;345
09 Cataluña;Nigeria;2017;282
09 Cataluña;Nigeria;2016;220
09 Cataluña;Nigeria;2015;199
09 Cataluña;Nigeria;2014;176
09 Cataluña;Nigeria;2013;228
09 Cataluña;Nigeria;2012;267
09 Cataluña;Nigeria;2011;382
09 Cataluña;Nigeria;2010;345
09 Cataluña;Nigeria;2009;506
09 Cataluña;Nigeria;2008;767
09 Cataluña;Senegal;2021;1.585
09 Cataluña;Senegal;2020;1.442
09 Cataluña;Senegal;2019;2.423
09 Cataluña;Senegal;2018;2.051
09 Cataluña;Senegal;2017;1.259
09 Cataluña;Senegal;2016;1.037
09 Cataluña;Senegal;2015;939
09 Cataluña;Senegal;2014;823
09 Cataluña;Senegal;2013;858
09 Cataluña;Senegal;2012;835
09 Cataluña;Senegal;2011;1.049
09 Cataluña;Senegal;2010;1.096
09 Cataluña;Senegal;2009;1.953
09 Cataluña;Senegal;2008;2.861
09 Cataluña;Otro país de África;2021;1.253
09 Cataluña;Otro país de África;2020;911
09 Cataluña;Otro país de África;2019;1.386
09 Cataluña;Otro país de África;2018;1.180
09 Cataluña;Otro país de África;2017;1.029
09 Cataluña;Otro país de África;2016;882
09 Cataluña;Otro país de África;2015;852
09 Cataluña;Otro país de África;2014;762
09 Cataluña;Otro país de África;2013;813
09 Cataluña;Otro país de África;2012;701
09 Cataluña;Otro país de África;2011;786
09 Cataluña;Otro país de África;2010;743
09 Cataluña;Otro país de África;2009;762
09 Cataluña;Otro país de África;2008;1.158
09 Cataluña;América del Norte;2021;3.901
09 Cataluña;América del Norte;2020;2.573
09 Cataluña;América del Norte;2019;4.431
09 Cataluña;América del Norte;2018;4.038
09 Cataluña;América del Norte;2017;4.152
09 Cataluña;América del Norte;2016;3.121
09 Cataluña;América del Norte;2015;3.043
09 Cataluña;América del Norte;2014;2.708
09 Cataluña;América del Norte;2013;2.530
09 Cataluña;América del Norte;2012;2.773
09 Cataluña;América del Norte;2011;3.189
09 Cataluña;América del Norte;2010;2.506
09 Cataluña;América del Norte;2009;2.343
09 Cataluña;América del Norte;2008;2.600
09 Cataluña;Estados Unidos de América;2021;1.909
09 Cataluña;Estados Unidos de América;2020;1.266
09 Cataluña;Estados Unidos de América;2019;2.175
09 Cataluña;Estados Unidos de América;2018;2.015
09 Cataluña;Estados Unidos de América;2017;1.977
09 Cataluña;Estados Unidos de América;2016;1.482
09 Cataluña;Estados Unidos de América;2015;1.429
09 Cataluña;Estados Unidos de América;2014;1.194
09 Cataluña;Estados Unidos de América;2013;1.101
09 Cataluña;Estados Unidos de América;2012;1.124
09 Cataluña;Estados Unidos de América;2011;1.283
09 Cataluña;Estados Unidos de América;2010;942
09 Cataluña;Estados Unidos de América;2009;876
09 Cataluña;Estados Unidos de América;2008;916
09 Cataluña;México;2021;1.724
09 Cataluña;México;2020;1.106
09 Cataluña;México;2019;1.963
09 Cataluña;México;2018;1.759
09 Cataluña;México;2017;1.897
09 Cataluña;México;2016;1.403
09 Cataluña;México;2015;1.419
09 Cataluña;México;2014;1.282
09 Cataluña;México;2013;1.204
09 Cataluña;México;2012;1.470
09 Cataluña;México;2011;1.704
09 Cataluña;México;2010;1.414
09 Cataluña;México;2009;1.326
09 Cataluña;México;2008;1.558
09 Cataluña;Canadá;2021;268
09 Cataluña;Canadá;2020;201
09 Cataluña;Canadá;2019;293
09 Cataluña;Canadá;2018;264
09 Cataluña;Canadá;2017;278
09 Cataluña;Canadá;2016;236
09 Cataluña;Canadá;2015;195
09 Cataluña;Canadá;2014;232
09 Cataluña;Canadá;2013;225
09 Cataluña;Canadá;2012;179
09 Cataluña;Canadá;2011;202
09 Cataluña;Canadá;2010;150
09 Cataluña;Canadá;2009;140
09 Cataluña;Canadá;2008;126
09 Cataluña;Centro América y Caribe;2021;8.672
09 Cataluña;Centro América y Caribe;2020;11.079
09 Cataluña;Centro América y Caribe;2019;18.666
09 Cataluña;Centro América y Caribe;2018;15.295
09 Cataluña;Centro América y Caribe;2017;13.123
09 Cataluña;Centro América y Caribe;2016;9.224
09 Cataluña;Centro América y Caribe;2015;7.127
09 Cataluña;Centro América y Caribe;2014;6.376
09 Cataluña;Centro América y Caribe;2013;5.773
09 Cataluña;Centro América y Caribe;2012;7.283
09 Cataluña;Centro América y Caribe;2011;8.631
09 Cataluña;Centro América y Caribe;2010;6.412
09 Cataluña;Centro América y Caribe;2009;5.959
09 Cataluña;Centro América y Caribe;2008;8.763
09 Cataluña;Cuba;2021;1.777
09 Cataluña;Cuba;2020;977
09 Cataluña;Cuba;2019;2.318
09 Cataluña;Cuba;2018;1.707
09 Cataluña;Cuba;2017;1.352
09 Cataluña;Cuba;2016;1.001
09 Cataluña;Cuba;2015;918
09 Cataluña;Cuba;2014;1.024
09 Cataluña;Cuba;2013;1.078
09 Cataluña;Cuba;2012;1.162
09 Cataluña;Cuba;2011;1.534
09 Cataluña;Cuba;2010;1.287
09 Cataluña;Cuba;2009;1.082
09 Cataluña;Cuba;2008;1.703
09 Cataluña;Honduras;2021;3.326
09 Cataluña;Honduras;2020;6.562
09 Cataluña;Honduras;2019;10.186
09 Cataluña;Honduras;2018;8.461
09 Cataluña;Honduras;2017;6.939
09 Cataluña;Honduras;2016;4.486
09 Cataluña;Honduras;2015;3.252
09 Cataluña;Honduras;2014;2.496
09 Cataluña;Honduras;2013;1.908
09 Cataluña;Honduras;2012;2.443
09 Cataluña;Honduras;2011;2.891
09 Cataluña;Honduras;2010;2.206
09 Cataluña;Honduras;2009;1.805
09 Cataluña;Honduras;2008;2.187
09 Cataluña;Nicaragua;2021;249
09 Cataluña;Nicaragua;2020;467
09 Cataluña;Nicaragua;2019;1.023
09 Cataluña;Nicaragua;2018;690
09 Cataluña;Nicaragua;2017;409
09 Cataluña;Nicaragua;2016;278
09 Cataluña;Nicaragua;2015;263
09 Cataluña;Nicaragua;2014;185
09 Cataluña;Nicaragua;2013;175
09 Cataluña;Nicaragua;2012;244
09 Cataluña;Nicaragua;2011;281
09 Cataluña;Nicaragua;2010;231
09 Cataluña;Nicaragua;2009;191
09 Cataluña;Nicaragua;2008;278
09 Cataluña;República Dominicana;2021;2.059
09 Cataluña;República Dominicana;2020;1.661
09 Cataluña;República Dominicana;2019;2.689
09 Cataluña;República Dominicana;2018;2.538
09 Cataluña;República Dominicana;2017;2.734
09 Cataluña;República Dominicana;2016;2.141
09 Cataluña;República Dominicana;2015;1.748
09 Cataluña;República Dominicana;2014;1.897
09 Cataluña;República Dominicana;2013;2.017
09 Cataluña;República Dominicana;2012;2.668
09 Cataluña;República Dominicana;2011;3.094
09 Cataluña;República Dominicana;2010;2.015
09 Cataluña;República Dominicana;2009;2.291
09 Cataluña;República Dominicana;2008;3.778
09 Cataluña;Otro país de Centro América y Caribe;2021;1.261
09 Cataluña;Otro país de Centro América y Caribe;2020;1.412
09 Cataluña;Otro país de Centro América y Caribe;2019;2.450
09 Cataluña;Otro país de Centro América y Caribe;2018;1.899
09 Cataluña;Otro país de Centro América y Caribe;2017;1.689
09 Cataluña;Otro país de Centro América y Caribe;2016;1.318
09 Cataluña;Otro país de Centro América y Caribe;2015;945
09 Cataluña;Otro país de Centro América y Caribe;2014;774
09 Cataluña;Otro país de Centro América y Caribe;2013;593
09 Cataluña;Otro país de Centro América y Caribe;2012;766
09 Cataluña;Otro país de Centro América y Caribe;2011;832
09 Cataluña;Otro país de Centro América y Caribe;2010;673
09 Cataluña;Otro país de Centro América y Caribe;2009;589
09 Cataluña;Otro país de Centro América y Caribe;2008;816
09 Cataluña;Sudamérica;2021;36.514
09 Cataluña;Sudamérica;2020;33.667
09 Cataluña;Sudamérica;2019;59.850
09 Cataluña;Sudamérica;2018;46.788
09 Cataluña;Sudamérica;2017;39.113
09 Cataluña;Sudamérica;2016;26.838
09 Cataluña;Sudamérica;2015;18.573
09 Cataluña;Sudamérica;2014;14.609
09 Cataluña;Sudamérica;2013;12.733
09 Cataluña;Sudamérica;2012;13.713
09 Cataluña;Sudamérica;2011;18.466
09 Cataluña;Sudamérica;2010;18.651
09 Cataluña;Sudamérica;2009;21.775
09 Cataluña;Sudamérica;2008;42.660
09 Cataluña;Argentina;2021;10.246
09 Cataluña;Argentina;2020;6.417
09 Cataluña;Argentina;2019;10.784
09 Cataluña;Argentina;2018;6.627
09 Cataluña;Argentina;2017;5.566
09 Cataluña;Argentina;2016;3.730
09 Cataluña;Argentina;2015;2.887
09 Cataluña;Argentina;2014;2.178
09 Cataluña;Argentina;2013;1.871
09 Cataluña;Argentina;2012;1.684
09 Cataluña;Argentina;2011;2.230
09 Cataluña;Argentina;2010;2.493
09 Cataluña;Argentina;2009;2.758
09 Cataluña;Argentina;2008;4.681
09 Cataluña;Bolivia;2021;1.291
09 Cataluña;Bolivia;2020;1.066
09 Cataluña;Bolivia;2019;2.009
09 Cataluña;Bolivia;2018;2.095
09 Cataluña;Bolivia;2017;2.130
09 Cataluña;Bolivia;2016;1.536
09 Cataluña;Bolivia;2015;1.318
09 Cataluña;Bolivia;2014;1.150
09 Cataluña;Bolivia;2013;1.025
09 Cataluña;Bolivia;2012;1.148
09 Cataluña;Bolivia;2011;1.443
09 Cataluña;Bolivia;2010;1.408
09 Cataluña;Bolivia;2009;1.587
09 Cataluña;Bolivia;2008;2.831
09 Cataluña;Brasil;2021;2.453
09 Cataluña;Brasil;2020;2.704
09 Cataluña;Brasil;2019;5.033
09 Cataluña;Brasil;2018;4.641
09 Cataluña;Brasil;2017;3.964
09 Cataluña;Brasil;2016;2.984
09 Cataluña;Brasil;2015;2.280
09 Cataluña;Brasil;2014;1.680
09 Cataluña;Brasil;2013;1.585
09 Cataluña;Brasil;2012;1.806
09 Cataluña;Brasil;2011;2.144
09 Cataluña;Brasil;2010;2.186
09 Cataluña;Brasil;2009;2.489
09 Cataluña;Brasil;2008;5.153
09 Cataluña;Colombia;2021;7.847
09 Cataluña;Colombia;2020;8.875
09 Cataluña;Colombia;2019;13.824
09 Cataluña;Colombia;2018;9.892
09 Cataluña;Colombia;2017;7.166
09 Cataluña;Colombia;2016;4.813
09 Cataluña;Colombia;2015;2.561
09 Cataluña;Colombia;2014;2.105
09 Cataluña;Colombia;2013;2.109
09 Cataluña;Colombia;2012;2.408
09 Cataluña;Colombia;2011;3.231
09 Cataluña;Colombia;2010;3.341
09 Cataluña;Colombia;2009;3.963
09 Cataluña;Colombia;2008;6.928
09 Cataluña;Chile;2021;1.855
09 Cataluña;Chile;2020;1.153
09 Cataluña;Chile;2019;2.199
09 Cataluña;Chile;2018;1.824
09 Cataluña;Chile;2017;1.814
09 Cataluña;Chile;2016;1.335
09 Cataluña;Chile;2015;1.050
09 Cataluña;Chile;2014;786
09 Cataluña;Chile;2013;699
09 Cataluña;Chile;2012;875
09 Cataluña;Chile;2011;1.220
09 Cataluña;Chile;2010;1.178
09 Cataluña;Chile;2009;1.121
09 Cataluña;Chile;2008;1.907
09 Cataluña;Ecuador;2021;2.252
09 Cataluña;Ecuador;2020;1.829
09 Cataluña;Ecuador;2019;3.383
09 Cataluña;Ecuador;2018;3.414
09 Cataluña;Ecuador;2017;3.399
09 Cataluña;Ecuador;2016;2.719
09 Cataluña;Ecuador;2015;1.946
09 Cataluña;Ecuador;2014;1.583
09 Cataluña;Ecuador;2013;1.524
09 Cataluña;Ecuador;2012;1.657
09 Cataluña;Ecuador;2011;1.837
09 Cataluña;Ecuador;2010;1.830
09 Cataluña;Ecuador;2009;2.962
09 Cataluña;Ecuador;2008;8.112
09 Cataluña;Paraguay;2021;894
09 Cataluña;Paraguay;2020;1.244
09 Cataluña;Paraguay;2019;2.348
09 Cataluña;Paraguay;2018;1.680
09 Cataluña;Paraguay;2017;1.660
09 Cataluña;Paraguay;2016;1.449
09 Cataluña;Paraguay;2015;900
09 Cataluña;Paraguay;2014;761
09 Cataluña;Paraguay;2013;631
09 Cataluña;Paraguay;2012;816
09 Cataluña;Paraguay;2011;1.503
09 Cataluña;Paraguay;2010;1.507
09 Cataluña;Paraguay;2009;1.706
09 Cataluña;Paraguay;2008;3.178
09 Cataluña;Perú;2021;4.183
09 Cataluña;Perú;2020;4.468
09 Cataluña;Perú;2019;7.381
09 Cataluña;Perú;2018;5.629
09 Cataluña;Perú;2017;4.393
09 Cataluña;Perú;2016;2.652
09 Cataluña;Perú;2015;1.844
09 Cataluña;Perú;2014;1.509
09 Cataluña;Perú;2013;1.461
09 Cataluña;Perú;2012;1.606
09 Cataluña;Perú;2011;2.323
09 Cataluña;Perú;2010;2.355
09 Cataluña;Perú;2009;3.102
09 Cataluña;Perú;2008;6.335
09 Cataluña;Uruguay;2021;865
09 Cataluña;Uruguay;2020;897
09 Cataluña;Uruguay;2019;1.869
09 Cataluña;Uruguay;2018;1.341
09 Cataluña;Uruguay;2017;1.275
09 Cataluña;Uruguay;2016;823
09 Cataluña;Uruguay;2015;558
09 Cataluña;Uruguay;2014;431
09 Cataluña;Uruguay;2013;373
09 Cataluña;Uruguay;2012;395
09 Cataluña;Uruguay;2011;593
09 Cataluña;Uruguay;2010;636
09 Cataluña;Uruguay;2009;708
09 Cataluña;Uruguay;2008;1.699
09 Cataluña;Venezuela;2021;4.619
09 Cataluña;Venezuela;2020;5.008
09 Cataluña;Venezuela;2019;11.013
09 Cataluña;Venezuela;2018;9.636
09 Cataluña;Venezuela;2017;7.735
09 Cataluña;Venezuela;2016;4.792
09 Cataluña;Venezuela;2015;3.218
09 Cataluña;Venezuela;2014;2.422
09 Cataluña;Venezuela;2013;1.444
09 Cataluña;Venezuela;2012;1.307
09 Cataluña;Venezuela;2011;1.932
09 Cataluña;Venezuela;2010;1.707
09 Cataluña;Venezuela;2009;1.373
09 Cataluña;Venezuela;2008;1.824
09 Cataluña;Otro país de Sudamérica;2021;9
09 Cataluña;Otro país de Sudamérica;2020;6
09 Cataluña;Otro país de Sudamérica;2019;7
09 Cataluña;Otro país de Sudamérica;2018;9
09 Cataluña;Otro país de Sudamérica;2017;11
09 Cataluña;Otro país de Sudamérica;2016;6
09 Cataluña;Otro país de Sudamérica;2015;12
09 Cataluña;Otro país de Sudamérica;2014;5
09 Cataluña;Otro país de Sudamérica;2013;9
09 Cataluña;Otro país de Sudamérica;2012;10
09 Cataluña;Otro país de Sudamérica;2011;11
09 Cataluña;Otro país de Sudamérica;2010;9
09 Cataluña;Otro país de Sudamérica;2009;6
09 Cataluña;Otro país de Sudamérica;2008;10
09 Cataluña;Asia;2021;13.430
09 Cataluña;Asia;2020;11.007
09 Cataluña;Asia;2019;20.620
09 Cataluña;Asia;2018;18.381
09 Cataluña;Asia;2017;15.000
09 Cataluña;Asia;2016;12.340
09 Cataluña;Asia;2015;11.031
09 Cataluña;Asia;2014;10.316
09 Cataluña;Asia;2013;11.215
09 Cataluña;Asia;2012;12.728
09 Cataluña;Asia;2011;15.888
09 Cataluña;Asia;2010;17.899
09 Cataluña;Asia;2009;13.443
09 Cataluña;Asia;2008;19.705
09 Cataluña;Bangladesh;2021;462
09 Cataluña;Bangladesh;2020;603
09 Cataluña;Bangladesh;2019;1.178
09 Cataluña;Bangladesh;2018;1.220
09 Cataluña;Bangladesh;2017;852
09 Cataluña;Bangladesh;2016;680
09 Cataluña;Bangladesh;2015;563
09 Cataluña;Bangladesh;2014;423
09 Cataluña;Bangladesh;2013;594
09 Cataluña;Bangladesh;2012;793
09 Cataluña;Bangladesh;2011;715
09 Cataluña;Bangladesh;2010;675
09 Cataluña;Bangladesh;2009;618
09 Cataluña;Bangladesh;2008;631
09 Cataluña;China;2021;1.818
09 Cataluña;China;2020;1.613
09 Cataluña;China;2019;3.621
09 Cataluña;China;2018;3.633
09 Cataluña;China;2017;3.326
09 Cataluña;China;2016;2.825
09 Cataluña;China;2015;2.804
09 Cataluña;China;2014;2.542
09 Cataluña;China;2013;2.328
09 Cataluña;China;2012;2.377
09 Cataluña;China;2011;3.073
09 Cataluña;China;2010;3.245
09 Cataluña;China;2009;3.477
09 Cataluña;China;2008;6.756
09 Cataluña;Filipinas;2021;475
09 Cataluña;Filipinas;2020;454
09 Cataluña;Filipinas;2019;781
09 Cataluña;Filipinas;2018;778
09 Cataluña;Filipinas;2017;797
09 Cataluña;Filipinas;2016;707
09 Cataluña;Filipinas;2015;763
09 Cataluña;Filipinas;2014;535
09 Cataluña;Filipinas;2013;656
09 Cataluña;Filipinas;2012;741
09 Cataluña;Filipinas;2011;996
09 Cataluña;Filipinas;2010;832
09 Cataluña;Filipinas;2009;972
09 Cataluña;Filipinas;2008;1.665
09 Cataluña;India;2021;1.749
09 Cataluña;India;2020;1.673
09 Cataluña;India;2019;4.004
09 Cataluña;India;2018;3.765
09 Cataluña;India;2017;2.571
09 Cataluña;India;2016;1.939
09 Cataluña;India;2015;1.560
09 Cataluña;India;2014;1.457
09 Cataluña;India;2013;1.520
09 Cataluña;India;2012;1.495
09 Cataluña;India;2011;2.048
09 Cataluña;India;2010;2.018
09 Cataluña;India;2009;2.597
09 Cataluña;India;2008;3.028
09 Cataluña;Pakistán;2021;5.584
09 Cataluña;Pakistán;2020;4.449
09 Cataluña;Pakistán;2019;7.097
09 Cataluña;Pakistán;2018;5.221
09 Cataluña;Pakistán;2017;3.779
09 Cataluña;Pakistán;2016;3.456
09 Cataluña;Pakistán;2015;2.973
09 Cataluña;Pakistán;2014;3.197
09 Cataluña;Pakistán;2013;3.978
09 Cataluña;Pakistán;2012;5.069
09 Cataluña;Pakistán;2011;7.094
09 Cataluña;Pakistán;2010;9.687
09 Cataluña;Pakistán;2009;4.339
09 Cataluña;Pakistán;2008;5.955
09 Cataluña;Otro país de Asia;2021;3.342
09 Cataluña;Otro país de Asia;2020;2.215
09 Cataluña;Otro país de Asia;2019;3.939
09 Cataluña;Otro país de Asia;2018;3.764
09 Cataluña;Otro país de Asia;2017;3.675
09 Cataluña;Otro país de Asia;2016;2.733
09 Cataluña;Otro país de Asia;2015;2.369
09 Cataluña;Otro país de Asia;2014;2.164
09 Cataluña;Otro país de Asia;2013;2.139
09 Cataluña;Otro país de Asia;2012;2.253
09 Cataluña;Otro país de Asia;2011;1.962
09 Cataluña;Otro país de Asia;2010;1.442
09 Cataluña;Otro país de Asia;2009;1.440
09 Cataluña;Otro país de Asia;2008;1.671
09 Cataluña;Oceanía ;2021;204
09 Cataluña;Oceanía ;2020;203
09 Cataluña;Oceanía ;2019;331
09 Cataluña;Oceanía ;2018;265
09 Cataluña;Oceanía ;2017;249
09 Cataluña;Oceanía ;2016;217
09 Cataluña;Oceanía ;2015;168
09 Cataluña;Oceanía ;2014;173
09 Cataluña;Oceanía ;2013;152
09 Cataluña;Oceanía ;2012;173
09 Cataluña;Oceanía ;2011;147
09 Cataluña;Oceanía ;2010;131
09 Cataluña;Oceanía ;2009;112
09 Cataluña;Oceanía ;2008;108
10 Comunitat Valenciana;Total;2021;79.301
10 Comunitat Valenciana;Total;2020;63.246
10 Comunitat Valenciana;Total;2019;97.307
10 Comunitat Valenciana;Total;2018;83.770
10 Comunitat Valenciana;Total;2017;66.342
10 Comunitat Valenciana;Total;2016;52.814
10 Comunitat Valenciana;Total;2015;44.039
10 Comunitat Valenciana;Total;2014;40.661
10 Comunitat Valenciana;Total;2013;36.474
10 Comunitat Valenciana;Total;2012;37.532
10 Comunitat Valenciana;Total;2011;46.910
10 Comunitat Valenciana;Total;2010;45.931
10 Comunitat Valenciana;Total;2009;45.057
10 Comunitat Valenciana;Total;2008;64.056
10 Comunitat Valenciana;España;2021;3.469
10 Comunitat Valenciana;España;2020;2.605
10 Comunitat Valenciana;España;2019;3.484
10 Comunitat Valenciana;España;2018;3.498
10 Comunitat Valenciana;España;2017;3.760
10 Comunitat Valenciana;España;2016;3.458
10 Comunitat Valenciana;España;2015;2.953
10 Comunitat Valenciana;España;2014;2.621
10 Comunitat Valenciana;España;2013;2.027
10 Comunitat Valenciana;España;2012;1.929
10 Comunitat Valenciana;España;2011;2.064
10 Comunitat Valenciana;España;2010;2.024
10 Comunitat Valenciana;España;2009;1.814
10 Comunitat Valenciana;España;2008;1.870
10 Comunitat Valenciana;UE27_2020 sin España;2021;17.852
10 Comunitat Valenciana;UE27_2020 sin España;2020;12.073
10 Comunitat Valenciana;UE27_2020 sin España;2019;""
10 Comunitat Valenciana;UE27_2020 sin España;2018;""
10 Comunitat Valenciana;UE27_2020 sin España;2017;""
10 Comunitat Valenciana;UE27_2020 sin España;2016;""
10 Comunitat Valenciana;UE27_2020 sin España;2015;""
10 Comunitat Valenciana;UE27_2020 sin España;2014;""
10 Comunitat Valenciana;UE27_2020 sin España;2013;""
10 Comunitat Valenciana;UE27_2020 sin España;2012;""
10 Comunitat Valenciana;UE27_2020 sin España;2011;""
10 Comunitat Valenciana;UE27_2020 sin España;2010;""
10 Comunitat Valenciana;UE27_2020 sin España;2009;""
10 Comunitat Valenciana;UE27_2020 sin España;2008;""
10 Comunitat Valenciana;UE28 sin España;2021;""
10 Comunitat Valenciana;UE28 sin España;2020;""
10 Comunitat Valenciana;UE28 sin España;2019;24.901
10 Comunitat Valenciana;UE28 sin España;2018;24.677
10 Comunitat Valenciana;UE28 sin España;2017;22.068
10 Comunitat Valenciana;UE28 sin España;2016;18.774
10 Comunitat Valenciana;UE28 sin España;2015;16.867
10 Comunitat Valenciana;UE28 sin España;2014;16.282
10 Comunitat Valenciana;UE28 sin España;2013;14.275
10 Comunitat Valenciana;UE28 sin España;2012;15.457
10 Comunitat Valenciana;UE28 sin España;2011;21.758
10 Comunitat Valenciana;UE28 sin España;2010;22.330
10 Comunitat Valenciana;UE28 sin España;2009;20.325
10 Comunitat Valenciana;UE28 sin España;2008;25.722
10 Comunitat Valenciana;Bélgica;2021;1.942
10 Comunitat Valenciana;Bélgica;2020;1.294
10 Comunitat Valenciana;Bélgica;2019;1.482
10 Comunitat Valenciana;Bélgica;2018;1.459
10 Comunitat Valenciana;Bélgica;2017;1.394
10 Comunitat Valenciana;Bélgica;2016;970
10 Comunitat Valenciana;Bélgica;2015;875
10 Comunitat Valenciana;Bélgica;2014;746
10 Comunitat Valenciana;Bélgica;2013;785
10 Comunitat Valenciana;Bélgica;2012;668
10 Comunitat Valenciana;Bélgica;2011;625
10 Comunitat Valenciana;Bélgica;2010;565
10 Comunitat Valenciana;Bélgica;2009;528
10 Comunitat Valenciana;Bélgica;2008;492
10 Comunitat Valenciana;Bulgaria;2021;667
10 Comunitat Valenciana;Bulgaria;2020;705
10 Comunitat Valenciana;Bulgaria;2019;1.246
10 Comunitat Valenciana;Bulgaria;2018;1.218
10 Comunitat Valenciana;Bulgaria;2017;1.328
10 Comunitat Valenciana;Bulgaria;2016;1.179
10 Comunitat Valenciana;Bulgaria;2015;1.115
10 Comunitat Valenciana;Bulgaria;2014;1.022
10 Comunitat Valenciana;Bulgaria;2013;1.164
10 Comunitat Valenciana;Bulgaria;2012;1.435
10 Comunitat Valenciana;Bulgaria;2011;2.480
