Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
Total Nacional;Otro país del resto de Europa;2016;4.246
Total Nacional;Otro país del resto de Europa;2015;3.481
Total Nacional;Otro país del resto de Europa;2014;3.237
Total Nacional;Otro país del resto de Europa;2013;2.770
Total Nacional;Otro país del resto de Europa;2012;2.998
Total Nacional;Otro país del resto de Europa;2011;3.409
Total Nacional;Otro país del resto de Europa;2010;2.916
Total Nacional;Otro país del resto de Europa;2009;2.943
Total Nacional;Otro país del resto de Europa;2008;4.675
Total Nacional;África;2021;93.400
Total Nacional;África;2020;68.658
Total Nacional;África;2019;110.455
Total Nacional;África;2018;93.098
Total Nacional;África;2017;63.842
Total Nacional;África;2016;51.291
Total Nacional;África;2015;43.603
Total Nacional;África;2014;38.736
Total Nacional;África;2013;39.207
Total Nacional;África;2012;41.309
Total Nacional;África;2011;48.200
Total Nacional;África;2010;50.266
Total Nacional;África;2009;70.414
Total Nacional;África;2008;111.563
Total Nacional;Argelia;2021;6.050
Total Nacional;Argelia;2020;4.560
Total Nacional;Argelia;2019;7.706
Total Nacional;Argelia;2018;6.705
Total Nacional;Argelia;2017;5.003
Total Nacional;Argelia;2016;4.464
Total Nacional;Argelia;2015;4.218
Total Nacional;Argelia;2014;4.637
Total Nacional;Argelia;2013;4.839
Total Nacional;Argelia;2012;4.649
Total Nacional;Argelia;2011;4.379
Total Nacional;Argelia;2010;3.854
Total Nacional;Argelia;2009;4.346
Total Nacional;Argelia;2008;5.592
Total Nacional;Gambia;2021;2.362
Total Nacional;Gambia;2020;1.620
Total Nacional;Gambia;2019;2.150
Total Nacional;Gambia;2018;1.731
Total Nacional;Gambia;2017;1.435
Total Nacional;Gambia;2016;1.357
Total Nacional;Gambia;2015;1.176
Total Nacional;Gambia;2014;1.201
Total Nacional;Gambia;2013;1.159
Total Nacional;Gambia;2012;1.135
Total Nacional;Gambia;2011;1.359
Total Nacional;Gambia;2010;1.462
Total Nacional;Gambia;2009;1.708
Total Nacional;Gambia;2008;2.512
Total Nacional;Ghana;2021;1.895
Total Nacional;Ghana;2020;1.420
Total Nacional;Ghana;2019;2.561
Total Nacional;Ghana;2018;1.901
Total Nacional;Ghana;2017;1.304
Total Nacional;Ghana;2016;980
Total Nacional;Ghana;2015;922
Total Nacional;Ghana;2014;908
Total Nacional;Ghana;2013;1.069
Total Nacional;Ghana;2012;1.158
Total Nacional;Ghana;2011;1.391
Total Nacional;Ghana;2010;1.309
Total Nacional;Ghana;2009;1.378
Total Nacional;Ghana;2008;1.922
Total Nacional;Guinea;2021;1.024
Total Nacional;Guinea;2020;803
Total Nacional;Guinea;2019;1.523
Total Nacional;Guinea;2018;1.185
Total Nacional;Guinea;2017;775
Total Nacional;Guinea;2016;789
Total Nacional;Guinea;2015;700
Total Nacional;Guinea;2014;582
Total Nacional;Guinea;2013;608
Total Nacional;Guinea;2012;667
Total Nacional;Guinea;2011;712
Total Nacional;Guinea;2010;867
